wavelength,Z_L_IRCF,Z_IRCF,Z_H_IRCF,Y_L_IRCF,Y_IRCF,Xl_IRCF,Xl_H_IRCF,685_055_IRCF
542,0.007426131,0.008012874,0.019592849,0.182523394,0.692489816,0.248262374,0.011690491,0.009380096
543,0.007603272,0.00770529,0.018551405,0.169487692,0.695575723,0.26037392,0.011710884,0.009602278
544,0.007789947,0.007411172,0.017643641,0.156562673,0.698866673,0.272488915,0.011723119,0.009803076
545,0.0079786,0.00711154,0.016808159,0.143433768,0.702349422,0.284757298,0.011713633,0.009977943
546,0.008158914,0.006792653,0.016006491,0.129698586,0.706010888,0.297352316,0.011671312,0.010122973
547,0.008338642,0.006489029,0.01528467,0.11568615,0.709764909,0.309837622,0.011614323,0.010249719
548,0.008499269,0.006185996,0.014598589,0.100789394,0.713541038,0.322588665,0.011523741,0.010349192
549,0.008651437,0.005927081,0.014005666,0.085653946,0.717179068,0.335137397,0.011422481,0.010431741
550,0.008768071,0.005702507,0.013486541,0.070196685,0.720487982,0.347670779,0.011307612,0.010482152
551,0.008873137,0.005544058,0.013114772,0.055218972,0.723383771,0.360021693,0.011207242,0.010520516
552,0.008932938,0.005427763,0.012880431,0.041014498,0.725676003,0.372341555,0.011093764,0.010532846
553,0.008956683,0.005360235,0.012809591,0.028890376,0.727363883,0.384193431,0.010998848,0.010535683
554,0.008926163,0.005317037,0.01284541,0.019523195,0.72846361,0.395657619,0.010929282,0.010526237
555,0.008839882,0.005286202,0.012952855,0.013062625,0.729057185,0.407450068,0.010890382,0.010514065
556,0.008712057,0.005267424,0.013096033,0.009272135,0.729380003,0.419207651,0.010885038,0.010516243
557,0.008530654,0.005247162,0.013246981,0.006908039,0.729391734,0.431530745,0.010900441,0.010534282
558,0.008326698,0.005228964,0.013383817,0.005452022,0.729194326,0.443648731,0.010927264,0.010573381
559,0.008112524,0.005203192,0.013492572,0.004457169,0.728536307,0.456056991,0.010947252,0.010623705
560,0.007948854,0.005176378,0.013557037,0.003808223,0.727477165,0.468062781,0.010970839,0.010681019
561,0.007847765,0.005147372,0.01356705,0.00337038,0.725845155,0.480147586,0.011017272,0.010741212
562,0.007784004,0.005102578,0.013488686,0.003078692,0.723623752,0.492076744,0.011095536,0.010780238
563,0.007760609,0.005058994,0.013333137,0.002897832,0.721036421,0.503886641,0.011196523,0.010811209
564,0.007749401,0.005000966,0.013077007,0.002780583,0.717991662,0.515809085,0.011286186,0.010814062
565,0.007763451,0.00494451,0.012737796,0.002714886,0.714699695,0.527881758,0.011368723,0.010806118
566,0.007783385,0.004875788,0.012327201,0.002679089,0.711194419,0.539759607,0.011447105,0.010769486
567,0.00780648,0.004789629,0.011883299,0.00266251,0.707306196,0.551639751,0.011505346,0.010699493
568,0.007847394,0.004702049,0.011487452,0.002666105,0.703247843,0.563301579,0.011460892,0.010619243
569,0.007895292,0.004601178,0.011161709,0.002681547,0.698792702,0.574780148,0.011226473,0.010514811
570,0.007966918,0.004507456,0.010916843,0.00271182,0.694205318,0.585903042,0.010835896,0.010417529
571,0.008061486,0.004420087,0.010726298,0.002753184,0.689391823,0.596695775,0.010257536,0.01032775
572,0.008181009,0.004339086,0.010569418,0.002802518,0.684234586,0.607182621,0.009414737,0.010242204
573,0.008340949,0.004281567,0.010443754,0.002862464,0.679018323,0.617296738,0.008340531,0.010185765
574,0.008533593,0.004236281,0.010333501,0.002927973,0.673473384,0.627084965,0.007658705,0.010134313
575,0.008763085,0.004213139,0.010241452,0.00300126,0.667879007,0.636474152,0.007924473,0.010106528
576,0.009018058,0.004203544,0.010161364,0.003079433,0.662078267,0.645459665,0.008643074,0.010087866
577,0.009278698,0.004196628,0.010082302,0.003156709,0.655978335,0.653864919,0.009605286,0.010058004
578,0.009559311,0.004204328,0.010006468,0.003241955,0.649702562,0.662007803,0.010806854,0.010048318
